File	Selected	Folder	Sample	Cell	Full_path
PE20302	True	.tests/data/	RPE-BM510	PE20302	.tests/data/RPE-BM510/all/PE20302.bam
PE20303	True	.tests/data/	RPE-BM510	PE20303	.tests/data/RPE-BM510/all/PE20303.bam
PE20304	True	.tests/data/	RPE-BM510	PE20304	.tests/data/RPE-BM510/all/PE20304.bam
PE20305	True	.tests/data/	RPE-BM510	PE20305	.tests/data/RPE-BM510/all/PE20305.bam
PE20306	True	.tests/data/	RPE-BM510	PE20306	.tests/data/RPE-BM510/all/PE20306.bam
PE20307	True	.tests/data/	RPE-BM510	PE20307	.tests/data/RPE-BM510/all/PE20307.bam
PE20308	True	.tests/data/	RPE-BM510	PE20308	.tests/data/RPE-BM510/all/PE20308.bam
PE20309	True	.tests/data/	RPE-BM510	PE20309	.tests/data/RPE-BM510/all/PE20309.bam
PE20310	True	.tests/data/	RPE-BM510	PE20310	.tests/data/RPE-BM510/all/PE20310.bam
PE20311	True	.tests/data/	RPE-BM510	PE20311	.tests/data/RPE-BM510/all/PE20311.bam
PE20312	True	.tests/data/	RPE-BM510	PE20312	.tests/data/RPE-BM510/all/PE20312.bam
PE20313	True	.tests/data/	RPE-BM510	PE20313	.tests/data/RPE-BM510/all/PE20313.bam
PE20314	True	.tests/data/	RPE-BM510	PE20314	.tests/data/RPE-BM510/all/PE20314.bam
PE20316	True	.tests/data/	RPE-BM510	PE20316	.tests/data/RPE-BM510/all/PE20316.bam
PE20317	True	.tests/data/	RPE-BM510	PE20317	.tests/data/RPE-BM510/all/PE20317.bam
PE20318	True	.tests/data/	RPE-BM510	PE20318	.tests/data/RPE-BM510/all/PE20318.bam
PE20319	True	.tests/data/	RPE-BM510	PE20319	.tests/data/RPE-BM510/all/PE20319.bam
