Index	chr	start	end	name	PeakID	gname	blacklist
1	chr1	68091	70091	ENSG00000186092	ENSG00000186092	OR4F5	0
2	chr1	450678	452678	ENSG00000278566	ENSG00000278566	OR4F29	0
3	chr1	685654	687654	ENSG00000273547	ENSG00000273547	OR4F16	0
4	chr1	923880	925880	ENSG00000187634	ENSG00000187634	SAMD11	0
5	chr1	958309	960309	ENSG00000188976	ENSG00000188976	NOC2L	0
6	chr1	959587	961587	ENSG00000187961	ENSG00000187961	KLHL17	0
7	chr1	965497	967497	ENSG00000187583	ENSG00000187583	PLEKHN1	0
8	chr1	981093	983093	ENSG00000187642	ENSG00000187642	PERM1	0
9	chr1	999172	1001172	ENSG00000188290	ENSG00000188290	HES4	0
10	chr1	1000138	1002138	ENSG00000187608	ENSG00000187608	ISG15	0
11	chr1	1019123	1021123	ENSG00000188157	ENSG00000188157	AGRN	0
12	chr1	1073307	1075307	ENSG00000237330	ENSG00000237330	RNF223	0
13	chr1	1115361	1117361	ENSG00000131591	ENSG00000131591	C1orf159	0
14	chr1	1172884	1174884	ENSG00000162571	ENSG00000162571	TTLL10	0
15	chr1	1205691	1207691	ENSG00000186891	ENSG00000186891	TNFRSF18	0
16	chr1	1213138	1215138	ENSG00000186827	ENSG00000186827	TNFRSF4	0
17	chr1	1231031	1233031	ENSG00000078808	ENSG00000078808	SDF4	0
18	chr1	1231265	1233265	ENSG00000176022	ENSG00000176022	B3GALT6	0
19	chr1	1245722	1247722	ENSG00000184163	ENSG00000184163	FAM132A	0
20	chr1	1272885	1274885	ENSG00000160087	ENSG00000160087	UBE2J2	0
21	chr1	1279436	1281436	ENSG00000162572	ENSG00000162572	SCNN1D	0
22	chr1	1307567	1309567	ENSG00000169972	ENSG00000169972	PUSL1	0
23	chr1	1308609	1310609	ENSG00000131584	ENSG00000131584	ACAP3	0
24	chr1	1323691	1325691	ENSG00000127054	ENSG00000127054	CPSF3L	0
25	chr1	1323756	1325756	ENSG00000224051	ENSG00000224051	GLTPD1	0
26	chr1	1330314	1332314	ENSG00000169962	ENSG00000169962	TAS1R3	0
27	chr1	1348350	1350350	ENSG00000107404	ENSG00000107404	DVL1	0
28	chr1	1360777	1362777	ENSG00000162576	ENSG00000162576	MXRA8	0
29	chr1	1374495	1376495	ENSG00000175756	ENSG00000175756	AURKAIP1	0
30	chr1	1398328	1400328	ENSG00000221978	ENSG00000221978	CCNL2	0
31	chr1	1398522	1400522	ENSG00000224870	ENSG00000224870	RP4-758J18.2	0
32	chr1	1406313	1408313	ENSG00000242485	ENSG00000242485	MRPL20	0
33	chr1	1420769	1422769	ENSG00000235098	ENSG00000235098	ANKRD65	0
34	chr1	1425128	1427128	ENSG00000205116	ENSG00000205116	TMEM88B	0
35	chr1	1433861	1435861	ENSG00000179403	ENSG00000179403	VWA1	0
36	chr1	1448689	1450689	ENSG00000215915	ENSG00000215915	ATAD3C	0
37	chr1	1470769	1472769	ENSG00000160072	ENSG00000160072	ATAD3B	0
38	chr1	1511151	1513151	ENSG00000197785	ENSG00000197785	ATAD3A	0
39	chr1	1539453	1541453	ENSG00000205090	ENSG00000205090	TMEM240	0
40	chr1	1573869	1575869	ENSG00000160075	ENSG00000160075	SSU72	0
41	chr1	1599096	1601096	ENSG00000228594	ENSG00000228594	C1orf233	0
42	chr1	1614415	1616415	ENSG00000197530	ENSG00000197530	MIB2	0
43	chr1	1631095	1633095	ENSG00000189409	ENSG00000189409	MMP23B	0
44	chr1	1691728	1693728	ENSG00000189339	ENSG00000189339	SLC35E2B	0
45	chr1	1721818	1723818	ENSG00000248333	ENSG00000248333	CDK11B	0
46	chr1	1723324	1725324	ENSG00000008128	ENSG00000008128	CDK11A	0
47	chr1	1744992	1746992	ENSG00000215790	ENSG00000215790	SLC35E2	0
48	chr1	1779457	1781457	ENSG00000008130	ENSG00000008130	NADK	0
49	chr1	1890117	1892117	ENSG00000078369	ENSG00000078369	GNB1	0
50	chr1	1913827	1915827	ENSG00000169885	ENSG00000169885	CALML6	0
51	chr1	1918273	1920273	ENSG00000178821	ENSG00000178821	TMEM52	0
52	chr1	2002837	2004837	ENSG00000142609	ENSG00000142609	KIAA1751	0
53	chr1	2018324	2020324	ENSG00000187730	ENSG00000187730	GABRD	0
54	chr1	2049470	2051470	ENSG00000067606	ENSG00000067606	PRKCZ	0
55	chr1	2211720	2213720	ENSG00000162585	ENSG00000162585	C1orf86	0
56	chr1	2227695	2229695	ENSG00000157933	ENSG00000157933	SKI	0
57	chr1	2390707	2392707	ENSG00000116151	ENSG00000116151	MORN1	0
58	chr1	2390775	2392775	ENSG00000157916	ENSG00000157916	RER1	0
59	chr1	2412797	2414797	ENSG00000157911	ENSG00000157911	PEX10	0
60	chr1	2424980	2426980	ENSG00000149527	ENSG00000149527	PLCH2	0
