chrom	start	end	scalar	class
chr1	0	200000	1	None
chr1	200000	400000	1	None
chr1	400000	600000	1	None
chr1	600000	800000	1	None
chr1	800000	1000000	1	None
chr1	1000000	1200000	1	None
chr1	1200000	1400000	1	None
chr1	1400000	1600000	1	None
chr1	1600000	1800000	1	None
chr1	1800000	2000000	1	None
chr1	2000000	2200000	1	None
chr1	2200000	2400000	1	None
chr1	2400000	2600000	1	None
chr1	2600000	2800000	1	None
chr1	2800000	3000000	1	None
chr1	3000000	3200000	1	good
chr1	3200000	3400000	1	good
chr1	3400000	3600000	1	good
chr1	3600000	3800000	1	good
chr1	3800000	4000000	1	good
chr1	4000000	4200000	1	good
chr1	4200000	4400000	1	good
chr1	4400000	4600000	1	good
chr1	4600000	4800000	1	good
chr1	4800000	5000000	1	good
chr1	5000000	5200000	1	good
chr1	5200000	5400000	1	good
chr1	5400000	5600000	1	good
chr1	5600000	5800000	1	good
chr1	5800000	6000000	1	good
chr1	6000000	6200000	1	good
chr1	6200000	6400000	1	good
chr1	6400000	6600000	1	good
chr1	6600000	6800000	1	good
chr1	6800000	7000000	1	good
chr1	7000000	7200000	1	good
chr1	7200000	7400000	1	good
chr1	7400000	7600000	1	good
chr1	7600000	7800000	1	good
chr1	7800000	8000000	1	good
chr1	8000000	8200000	1	good
chr1	8200000	8400000	1	good
chr1	8400000	8600000	1	good
chr1	8600000	8800000	1	good
chr1	8800000	9000000	1	good
chr1	9000000	9200000	1	good
chr1	9200000	9400000	1	good
chr1	9400000	9600000	1	good
chr1	9600000	9800000	1	good
chr1	9800000	10000000	1	good
chr1	10000000	10200000	1	good
chr1	10200000	10400000	1	good
chr1	10400000	10600000	1	good
chr1	10600000	10800000	1	good
chr1	10800000	11000000	1	good
chr1	11000000	11200000	1	good
chr1	11200000	11400000	1	good
chr1	11400000	11600000	1	good
chr1	11600000	11800000	1	good
chr1	11800000	12000000	1	good
chr1	12000000	12200000	1	good
chr1	12200000	12400000	1	good
chr1	12400000	12600000	1	good
chr1	12600000	12800000	1	good
chr1	12800000	13000000	1	good
chr1	13000000	13200000	1	good
