Index	chrom	start	end	PeakID	2	3	4	5	CpG%	GC%
1	chr1	0	200000	bin_200kb_1	0	0	0	0	0.012235	0.424517
2	chr1	200000	400000	bin_200kb_2	0	0	0	0	0.008464	0.405687
3	chr1	400000	600000	bin_200kb_3	0	0	0	0	0.008521	0.401892
4	chr1	600000	800000	bin_200kb_4	0	0	0	0	0.011152	0.420935
5	chr1	800000	1000000	bin_200kb_5	0	0	0	0	0.014692	0.448248
6	chr1	1000000	1200000	bin_200kb_6	0	0	0	0	0.044136	0.627472
7	chr1	1200000	1400000	bin_200kb_7	0	0	0	0	0.045416	0.626861
8	chr1	1400000	1600000	bin_200kb_8	0	0	0	0	0.037295	0.574125
9	chr1	1600000	1800000	bin_200kb_9	0	0	0	0	0.040316	0.567934
10	chr1	1800000	2000000	bin_200kb_10	0	0	0	0	0.020193	0.472576
11	chr1	2000000	2200000	bin_200kb_11	0	0	0	0	0.034855	0.56963
12	chr1	2200000	2400000	bin_200kb_12	0	0	0	0	0.034735	0.578031
13	chr1	2400000	2600000	bin_200kb_13	0	0	0	0	0.032045	0.627018
14	chr1	2600000	2800000	bin_200kb_14	0	0	0	0	0.023073	0.585332
15	chr1	2800000	3000000	bin_200kb_15	0	0	0	0	0.027114	0.579381
16	chr1	3000000	3200000	bin_200kb_16	0	0	0	0	0.029014	0.565969
17	chr1	3200000	3400000	bin_200kb_17	0	0	0	0	0.030645	0.56826
18	chr1	3400000	3600000	bin_200kb_18	0	0	0	0	0.031105	0.591493
19	chr1	3600000	3800000	bin_200kb_19	0	0	0	0	0.032125	0.57224
20	chr1	3800000	4000000	bin_200kb_20	0	0	0	0	0.022773	0.492039
21	chr1	4000000	4200000	bin_200kb_21	0	0	0	0	0.015582	0.495249
22	chr1	4200000	4400000	bin_200kb_22	0	0	0	0	0.009311	0.444392
23	chr1	4400000	4600000	bin_200kb_23	0	0	0	0	0.012872	0.474996
24	chr1	4600000	4800000	bin_200kb_24	0	0	0	0	0.020153	0.520393
25	chr1	4800000	5000000	bin_200kb_25	0	0	0	0	0.008051	0.435561
26	chr1	5000000	5200000	bin_200kb_26	0	0	0	0	0.007951	0.409137
27	chr1	5200000	5400000	bin_200kb_27	0	0	0	0	0.010612	0.454144
28	chr1	5400000	5600000	bin_200kb_28	0	0	0	0	0.013552	0.493119
29	chr1	5600000	5800000	bin_200kb_29	0	0	0	0	0.012262	0.470466
30	chr1	5800000	6000000	bin_200kb_30	0	0	0	0	0.022613	0.532064
31	chr1	6000000	6200000	bin_200kb_31	0	0	0	0	0.023013	0.555308
32	chr1	6200000	6400000	bin_200kb_32	0	0	0	0	0.031355	0.563919
33	chr1	6400000	6600000	bin_200kb_33	0	0	0	0	0.032595	0.581071
34	chr1	6600000	6800000	bin_200kb_34	0	0	0	0	0.024784	0.489769
35	chr1	6800000	7000000	bin_200kb_35	0	0	0	0	0.010412	0.411468
36	chr1	7000000	7200000	bin_200kb_36	0	0	0	0	0.016202	0.483638
37	chr1	7200000	7400000	bin_200kb_37	0	0	0	0	0.012852	0.444522
38	chr1	7400000	7600000	bin_200kb_38	0	0	0	0	0.017833	0.529824
39	chr1	7600000	7800000	bin_200kb_39	0	0	0	0	0.019543	0.545316
40	chr1	7800000	8000000	bin_200kb_40	0	0	0	0	0.013042	0.42564
41	chr1	8000000	8200000	bin_200kb_41	0	0	0	0	0.014712	0.43144
42	chr1	8200000	8400000	bin_200kb_42	0	0	0	0	0.018543	0.477657
43	chr1	8400000	8600000	bin_200kb_43	0	0	0	0	0.013452	0.42752
44	chr1	8600000	8800000	bin_200kb_44	0	0	0	0	0.009771	0.399776
45	chr1	8800000	9000000	bin_200kb_45	0	0	0	0	0.018333	0.470816
46	chr1	9000000	9200000	bin_200kb_46	0	0	0	0	0.017873	0.489118
47	chr1	9200000	9400000	bin_200kb_47	0	0	0	0	0.022243	0.509991
48	chr1	9400000	9600000	bin_200kb_48	0	0	0	0	0.018123	0.49845
49	chr1	9600000	9800000	bin_200kb_49	0	0	0	0	0.023023	0.519643
50	chr1	9800000	10000000	bin_200kb_50	0	0	0	0	0.018913	0.503971
51	chr1	10000000	10200000	bin_200kb_51	0	0	0	0	0.016082	0.453934
52	chr1	10200000	10400000	bin_200kb_52	0	0	0	0	0.014082	0.421909
53	chr1	10400000	10600000	bin_200kb_53	0	0	0	0	0.020333	0.475217
54	chr1	10600000	10800000	bin_200kb_54	0	0	0	0	0.029914	0.56837
55	chr1	10800000	11000000	bin_200kb_55	0	0	0	0	0.019523	0.520393
56	chr1	11000000	11200000	bin_200kb_56	0	0	0	0	0.020823	0.482598
57	chr1	11200000	11400000	bin_200kb_57	0	0	0	0	0.014382	0.455284
58	chr1	11400000	11600000	bin_200kb_58	0	0	0	0	0.016182	0.508501
59	chr1	11600000	11800000	bin_200kb_59	0	0	0	0	0.022843	0.533225
60	chr1	11800000	12000000	bin_200kb_60	0	0	0	0	0.019233	0.50288
61	chr1	12000000	12200000	bin_200kb_61	0	0	0	0	0.019623	0.515112
62	chr1	12200000	12400000	bin_200kb_62	0	0	0	0	0.013832	0.449113
63	chr1	12400000	12600000	bin_200kb_63	0	0	0	0	0.010482	0.4275
64	chr1	12600000	12800000	bin_200kb_64	0	0	0	0	0.013922	0.470856
65	chr1	12800000	13000000	bin_200kb_65	0	0	0	0	0.009121	0.444352
66	chr1	13000000	13200000	bin_200kb_66	0	0	0	0	0.010711	0.455147
67	chr1	13200000	13400000	bin_200kb_67	0	0	0	0	0.011072	0.463565
68	chr1	13400000	13600000	bin_200kb_68	0	0	0	0	0.015652	0.478767
69	chr1	13600000	13800000	bin_200kb_69	0	0	0	0	0.014152	0.435421
70	chr1	13800000	14000000	bin_200kb_70	0	0	0	0	0.012692	0.457714
71	chr1	14000000	14200000	bin_200kb_71	0	0	0	0	0.008351	0.422309
72	chr1	14200000	14400000	bin_200kb_72	0	0	0	0	0.008241	0.413768
73	chr1	14400000	14600000	bin_200kb_73	0	0	0	0	0.010292	0.43153
74	chr1	14600000	14800000	bin_200kb_74	0	0	0	0	0.012422	0.456644
75	chr1	14800000	15000000	bin_200kb_75	0	0	0	0	0.013832	0.481717
76	chr1	15000000	15200000	bin_200kb_76	0	0	0	0	0.018793	0.514112
77	chr1	15200000	15400000	bin_200kb_77	0	0	0	0	0.013732	0.457424
78	chr1	15400000	15600000	bin_200kb_78	0	0	0	0	0.018323	0.506941
79	chr1	15600000	15800000	bin_200kb_79	0	0	0	0	0.016152	0.451743
80	chr1	15800000	16000000	bin_200kb_80	0	0	0	0	0.021143	0.452293
81	chr1	16000000	16200000	bin_200kb_81	0	0	0	0	0.019843	0.565869
82	chr1	16200000	16400000	bin_200kb_82	0	0	0	0	0.016502	0.486848
83	chr1	16400000	16600000	bin_200kb_83	0	0	0	0	0.018533	0.50243
84	chr1	16600000	16800000	bin_200kb_84	0	0	0	0	0.021723	0.492779
85	chr1	16800000	17000000	bin_200kb_85	0	0	0	0	0.017866	0.455955
86	chr1	17000000	17200000	bin_200kb_86	0	0	0	0	0.016402	0.487818
87	chr1	17200000	17400000	bin_200kb_87	0	0	0	0	0.014352	0.512502
88	chr1	17400000	17600000	bin_200kb_88	0	0	0	0	0.022593	0.49979
89	chr1	17600000	17800000	bin_200kb_89	0	0	0	0	0.019503	0.551597
90	chr1	17800000	18000000	bin_200kb_90	0	0	0	0	0.012292	0.481027
91	chr1	18000000	18200000	bin_200kb_91	0	0	0	0	0.011512	0.487578
92	chr1	18200000	18400000	bin_200kb_92	0	0	0	0	0.011612	0.493209
93	chr1	18400000	18600000	bin_200kb_93	0	0	0	0	0.011402	0.474246
94	chr1	18600000	18800000	bin_200kb_94	0	0	0	0	0.020143	0.512752
95	chr1	18800000	19000000	bin_200kb_95	0	0	0	0	0.016242	0.525504
96	chr1	19000000	19200000	bin_200kb_96	0	0	0	0	0.015752	0.49695
97	chr1	19200000	19400000	bin_200kb_97	0	0	0	0	0.016612	0.472346
98	chr1	19400000	19600000	bin_200kb_98	0	0	0	0	0.015842	0.474906
99	chr1	19600000	19800000	bin_200kb_99	0	0	0	0	0.018123	0.495409
